algo_a,algo_b,entrance_a,seed,winner,a_moves,b_moves,a_waits,b_waits,a_items_collected,b_items_collected,a_efficiency,b_efficiency,move_margin,a_items_left,a_items_right,b_items_left,b_items_right,a_distribution,b_distribution,a_cross_cluster_trips,b_cross_cluster_trips,a_t_corridor_visits,a_b_corridor_visits,b_t_corridor_visits,b_b_corridor_visits,a_bottleneck_visits,b_bottleneck_visits,a_detour_ratio,b_detour_ratio,a_aisle_A1,a_aisle_A2,a_aisle_A4,a_aisle_A5,b_aisle_A1,b_aisle_A2,b_aisle_A4,b_aisle_A5,a_blocks_caused,b_blocks_caused,a_blocked_at_bottleneck,b_blocked_at_bottleneck,a_trap_attempts,a_trap_successes,b_trap_attempts,b_trap_successes,a_total_search_calls,a_total_nodes_expanded,a_avg_nodes_per_call,a_max_frontier,a_search_time_us,a_avg_time_per_call_us,b_total_search_calls,b_total_nodes_expanded,b_avg_nodes_per_call,b_max_frontier,b_search_time_us,b_avg_time_per_call_us,a_avg_nodes_per_move,b_avg_nodes_per_move,game_time_us,total_turns,game_id,trial
BFS,DFS,Bottom,61,A,9,8,0,0,12,9,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,1,3,1,1,2,1,0,1.0,1.0,1,2,1,1,0,1,1,1,0,0,0,0,7,0,6,0,133,2801,21.06,6,2647.2,19.9,145,2589,17.86,8,2510.4,17.31,186.2,189.4,6484.2,8,19,9
BFS,DFS,Bottom,62,A,9,8,0,0,12,9,1.3333,1.5,1,5,7,7,5,moderate,moderate,1,1,3,1,1,2,1,0,1.0,1.0,1,1,2,1,1,1,1,0,0,0,0,0,7,0,6,0,119,2296,19.29,6,2213.3,18.6,135,2179,16.14,8,2207.0,16.35,157.4,157.9,5681.0,8,20,10
BFS,UCS,Top,63,A,9,8,0,0,12,9,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,1,4,0,0,4,1,1,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,133,2859,21.5,6,2765.2,20.79,137,3640,26.57,7,4014.2,29.3,183.7,240.9,8126.6,8,21,1
BFS,UCS,Top,64,A,9,8,0,0,12,6,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,0,4,0,0,4,1,1,1.0,1.0,1,1,2,1,0,0,1,1,0,0,0,0,9,3,4,0,131,2088,15.94,5,2028.9,15.49,182,4633,25.46,7,5011.6,27.54,130.8,299.9,8517.0,8,22,2
BFS,UCS,Top,65,A,9,8,0,0,12,9,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,4,0,0,4,1,1,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,147,3146,21.4,6,2927.9,19.92,147,4015,27.31,7,4354.9,29.63,200.6,263.6,8662.9,8,23,3
BFS,UCS,Top,66,A,9,8,0,0,12,10,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,121,2471,20.42,6,2351.8,19.44,126,3196,25.37,7,3341.7,26.52,162.3,212.2,6934.4,8,24,4
BFS,UCS,Top,67,A,9,8,0,0,12,10,1.3333,1.5,1,8,4,4,8,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,105,1977,18.83,6,1957.7,18.64,118,2948,24.98,7,3123.6,26.47,132.0,199.6,6172.2,8,25,5
BFS,UCS,Top,68,A,9,8,0,0,12,10,1.3333,1.5,1,7,5,5,7,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,2,1,1,0,1,2,1,0,0,0,0,7,0,6,0,121,2458,20.31,6,2374.1,19.62,126,3222,25.57,7,3558.0,28.24,160.9,212.8,7187.6,8,26,6
BFS,UCS,Top,69,A,9,8,0,0,12,11,1.3333,1.5,1,4,8,8,4,moderate,moderate,1,1,4,0,0,3,1,0,1.0,1.0,1,1,2,1,1,2,1,0,0,0,0,0,7,0,6,0,109,2038,18.7,6,1919.0,17.61,115,2798,24.33,7,3115.3,27.09,138.6,190.9,6157.0,8,27,7
BFS,UCS,Top,70,A,9,8,0,0,12,6,1.3333,1.5,1,6,6,6,6,balanced,balanced,1,0,4,0,0,4,1,1,1.0,1.0,1,1,2,1,0,0,1,1,0,0,0,0,9,3,4,0,131,2140,16.34,5,2427.2,18.53,180,4588,25.49,7,5477.6,30.43,137.3,301.2,20697.4,8,28,8
